source_text,translated_text
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be fetched from main Item table, values will be copied to 'Packing List' table.","За артикули тип „Продуктов пакет“ складът, серийният номер и партидата от основната таблица с артикули ще се копират в таблицата „Списък за опаковане“."
"New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt","Новият сериен номер не може да има зададен склад. Складът се определя чрез „Складово движение“ (Stock Entry) или „Приемо-предавателен протокол за покупка“ (Purchase Receipt)."
"Please click on 'Generate Schedule' to fetch Serial No added for Item {0}","Кликнете върху „Генерирай график“, за да заредите серийните номера за артикула {0}."
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle","Изберете артикул, при който „Складов артикул“ е „Не“, а „Артикул за продажба“ е „Да“ и за него няма друг продуктов пакет."
"Please set Account in Warehouse {0} or Default Inventory Account in Company {1}","Моля, задайте сметка в склад {0} или сметка по подразбиране за стоки (Inventory Account) в компания {1}."
"Please set filter based on Item or Warehouse","Моля, задайте филтър по артикул или по склад."
"Row #{0}: Rejected Warehouse is mandatory against rejected Item {1}","Ред №{0}: Складът за отказани артикули е задължителен за отхвърления артикул {1}."
"Select BOM, Qty and For Warehouse","Изберете рецепта (BOM), количество и склад."
"{0} units of [{1}](#Form/Item/{1}) found in [{2}](#Form/Warehouse/{2})","Намерени са {0} бр. от [{1}](#Form/Item/{1}) в [{2}](#Form/Warehouse/{2})."
"To allow over receipt / delivery, update ""Over Receipt/Delivery Allowance"" in Stock Settings or the Item.","За да позволите прием/доставка над заявеното, променете „Допуск за надвишаване“ (Over Receipt/Delivery Allowance) в „Настройки на склада“ или в самия артикул."
"Please set Warehouse in Woocommerce Settings","Моля, задайте склад в настройките на WooCommerce."
"Rejected Warehouse","Склад за отказани артикули"
"Student Batch","Студентска група"
"Scrap Warehouse","Склад за скрап"
"Available Qty at WIP Warehouse","Налично количество в склада за незавършено производство (WIP)."
"Aggregate group of **Items** into another **Item**. This is useful to maintain inventory for groups of items like gift baskets, lunch boxes, travel kits etc.","Групирайте няколко **артикула** в един нов **артикул**. Полезно е за продуктови пакети (напр. подаръчни комплекти, обедни кутии, комплекти за пътуване), когато поддържате отделна наличност по всеки артикул."
"Bin","Складова локация"
"Available Batch Qty at From Warehouse","Налично партидно количество в изходния склад."
"Available Qty at From Warehouse","Налично количество в изходния склад."
"Reorder level based on Warehouse","Ниво за презареждане по склад."
"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.","Публикува „В наличност“ или „Изчерпано“ в Hub според наличността в този склад."
"Default Stock UOM","Мерна единица за складови наличности по подразбиране"
"Inter Warehouse Transfer Settings","Настройки за междускладови трансфери"
"Warehouse wise Item Balance Age and Value","По склад: възраст и стойност на наличностите по артикули"
"Sets 'Target Warehouse' in each row of the items table.","Задава полето „Целеви склад“ (Target Warehouse) във всеки ред от таблицата с артикули."
"This Warehouse will be auto-updated in the Work In Progress Warehouse field of Work Orders.","Този склад ще се попълва автоматично в полето „Склад незавършено производство“ (Work In Progress Warehouse) в производствените поръчки."
"Charge of type 'Actual' in row {0} cannot be included in Item Rate","Такса от тип „Действителна“ („Actual“) в ред {0} не може да бъде включена в единичната цена на артикула."
"Item Row {0}: {1} {2} does not exist in above '{1}' table","Ред {0} за артикул {1} {2} не съществува в горната таблица „{1}“."
"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.","Правилото за ценообразуване се подбира първо по полето „Прилага се за“ („Apply On“), което може да е „Артикул“, „Група артикули“ или „Марка“."
"Tax Category has been changed to ""Total"" because all the Items are non-stock items","Данъчната категория е променена на „Общо“, защото всички артикули са не-складови."
"This Item is a Template and cannot be used in transactions. Item details will be copied over into the variants unless 'No Copy' is set","Този артикул е шаблон и не може да се използва в операции. Данните му се копират в вариантите, освен ако е избрано „Без копиране“ („No Copy“)."
"Weight is mentioned,\nPlease mention ""Weight UOM"" too","Посочено е тегло. Моля, задайте и „МЕ за тегло“ („Weight UOM“)."
"Add to Featured Item","Добави към „Избрани артикули“"
"Standard tax template that can be applied to all Purchase Transactions. For Item specific rates, they must be added in the **Item Tax** table in the **Item**.","Стандартен данъчен шаблон, който може да се прилага към всички покупки. За специфични за артикула ставки ги добавете в таблица **Данък на артикул** (**Item Tax**) в самия **артикул**."
"Standard tax template that can be applied to all Sales Transactions. For Item specific rates, they must be added in the **Item Tax** table in the **Item**.","Стандартен данъчен шаблон, който може да се прилага към всички продажби. За специфични за артикула ставки ги добавете в таблица **Данък на артикул** (**Item Tax**) в самия **артикул**."
"Replace a particular BOM in all other BOMs where it is used. It also updates the latest price in all the BOMs.","Заменя конкретна рецепта (BOM) във всички други BOM, в които се използва, и обновява последната цена във всички тези BOM."
"This will be appended to the Item Code of the variant. For example, if the template item code is ""T-SHIRT"", the item code of the variant will be ""T-SHIRT-SM""","Това ще се добави към кода на артикула на варианта. Например, ако кодът на шаблон-артикула е „T-SHIRT“, кодът на варианта ще бъде „T-SHIRT-SM“."
"If selected Pricing Rule is made for 'Rate', it will overwrite the rate fetched in 'Rate' field, rather than 'Price List Rate' field.","Ако избраното правило за ценообразуване е за „Ставка“ („Rate“), то ще замести стойността в полето „Ставка“, а не стойността от „Ценова листа“."
"New Customer Revenue","Приходи от нови клиенти"
"Repeat Customer Revenue","Приходи от редовни клиенти"
"Standard Selling","Стандартна продажна цена"
"POS Customer Group","Клиентска група за POS"
"Rate at which Customer Currency is converted to customer's base currency","Курсът, по който валутата на клиента се преобразува в базовата валута на клиента."
"This warehouse will be used to create Sales Orders. The fallback warehouse is ""Stores"".","Този склад ще се използва при създаване на поръчки за продажба. Резервният склад е „Магазин“ („Stores“)."
"Standard Selling Rate","Стандартна продажна цена"
"Supplier Invoice Date","Дата на фактурата от доставчика"
"Against Journal Entry {0} does not have any unmatched {1} entry","Записът в дневника {0} няма никакви несдвоени записи тип {1}."
"Against Journal Entry {0} is already adjusted against some other voucher","Записът в дневника {0} вече е използван за прихващане с друг документ."
"Budget cannot be assigned against Group Account {0}","Не можете да зададете бюджет към групова сметка {0}."
"Enabling 'Use for Shopping Cart', as Shopping Cart is enabled and there should be at least one Tax Rule for Shopping Cart","Опцията „Използвай за количка“ е включена, защото модулът Количка е активен и трябва да има поне едно данъчно правило за количката."
"Expense Account","Разходна сметка"
"Note: Payment Entry will not be created since 'Cash or Bank Account' was not specified","Забележка: Запис за плащане няма да бъде създаден, тъй като не е посочена „Касова или банкова сметка“ („Cash or Bank Account“)."
"Please enter Account for Change Amount","Моля, въведете сметка за сумата за ресто/разлика."
"Please enter Expense Account","Моля, въведете разходна сметка."
"Please mention Round Off Account in Company","Моля, посочете сметка за закръгляване в настройките на компанията."
"Please set 'Asset Depreciation Cost Center' in Company {0}","Моля, задайте „Център на разходите за амортизация на актив“ („Asset Depreciation Cost Center“) в компания {0}."
"Please set 'Gain/Loss Account on Asset Disposal' in Company {0}","Моля, задайте „Сметка за печалба/загуба при отписване на актив“ („Gain/Loss Account on Asset Disposal“) в компания {0}."
"Row {0}: Please check 'Is Advance' against Account {1} if this is an advance entry.","Ред {0}: Маркирайте „Авансово плащане“ („Is Advance“) за сметка {1}, ако това е авансов запис."
"You can not enter current voucher in 'Against Journal Entry' column","Не можете да изберете текущия документ в колоната „Срещу запис в дневника“ („Against Journal Entry“)."
"Payment Reconciliation Invoice","Фактура за съгласуване на плащания (Payment Reconciliation Invoice)"
"Tally Debtors Account","Сметка „Длъжници“ за Tally"
"POS Invoice Merge Log","Лог на обединени POS фактури"
"The Campaign '{0}' already exists for the {1} '{2}'","Кампания „{0}“ вече съществува за {1} „{2}“."
"All Lead (Open)","Всички отворени лийдове"
